fee_id,student_id,amount,status,payment_date
FEE0001,S0001,70000,Pending,2024-12-05
FEE0002,S0002,90000,Partial,2024-08-23
FEE0003,S0003,50000,Paid,2024-09-10
FEE0004,S0004,70000,Pending,2024-12-25
FEE0005,S0005,65000,Paid,2026-07-07
FEE0006,S0006,50000,Partial,2024-07-29
FEE0007,S0007,80000,Paid,2025-06-22
FEE0008,S0008,50000,Paid,2026-06-09
FEE0009,S0009,80000,Partial,2025-02-26
FEE0010,S0010,65000,Paid,2025-11-15
FEE0011,S0011,65000,Pending,2026-06-14
FEE0012,S0012,65000,Partial,2025-11-09
FEE0013,S0013,70000,Paid,2024-12-01
FEE0014,S0014,65000,Partial,2025-04-21
FEE0015,S0015,65000,Partial,2024-08-02
FEE0016,S0016,50000,Partial,2026-01-11
FEE0017,S0017,65000,Pending,2025-03-04
FEE0018,S0018,70000,Paid,2025-07-05
FEE0019,S0019,65000,Paid,2025-03-08
FEE0020,S0020,90000,Paid,2024-08-13
FEE0021,S0021,90000,Partial,2024-07-30
FEE0022,S0022,70000,Paid,2025-08-10
FEE0023,S0023,90000,Pending,2024-07-29
FEE0024,S0024,65000,Paid,2024-10-30
FEE0025,S0025,65000,Pending,2025-07-11
FEE0026,S0026,65000,Paid,2025-07-27
FEE0027,S0027,80000,Pending,2024-08-10
FEE0028,S0028,80000,Partial,2025-03-28
FEE0029,S0029,65000,Partial,2025-07-06
FEE0030,S0030,65000,Partial,2025-02-15
FEE0031,S0031,65000,Paid,2025-01-13
FEE0032,S0032,65000,Pending,2026-02-21
FEE0033,S0033,80000,Paid,2024-09-02
FEE0034,S0034,80000,Pending,2025-01-10
FEE0035,S0035,70000,Paid,2025-11-28
FEE0036,S0036,70000,Partial,2025-08-19
FEE0037,S0037,80000,Paid,2025-01-07
FEE0038,S0038,50000,Pending,2024-08-11
FEE0039,S0039,90000,Paid,2024-12-06
FEE0040,S0040,90000,Partial,2024-12-04
FEE0041,S0041,65000,Partial,2025-05-09
FEE0042,S0042,70000,Pending,2025-05-03
FEE0043,S0043,90000,Paid,2025-05-07
FEE0044,S0044,80000,Pending,2025-11-15
FEE0045,S0045,90000,Paid,2026-01-20
FEE0046,S0046,65000,Partial,2024-10-11
FEE0047,S0047,70000,Partial,2025-06-29
FEE0048,S0048,50000,Pending,2024-11-05
FEE0049,S0049,50000,Partial,2024-08-09
FEE0050,S0050,65000,Pending,2026-03-07
FEE0051,S0051,65000,Partial,2026-05-01
FEE0052,S0052,80000,Partial,2026-05-27
FEE0053,S0053,70000,Pending,2026-05-22
FEE0054,S0054,50000,Pending,2025-11-08
FEE0055,S0055,80000,Partial,2026-06-26
FEE0056,S0056,90000,Pending,2026-03-28
FEE0057,S0057,80000,Partial,2025-09-13
FEE0058,S0058,50000,Pending,2025-12-25
FEE0059,S0059,90000,Partial,2024-09-10
FEE0060,S0060,70000,Pending,2026-02-20
FEE0061,S0061,65000,Paid,2024-08-31
FEE0062,S0062,50000,Pending,2025-06-08
FEE0063,S0063,50000,Partial,2025-10-29
FEE0064,S0064,70000,Paid,2024-07-29
FEE0065,S0065,65000,Partial,2026-04-27
FEE0066,S0066,50000,Paid,2025-08-12
FEE0067,S0067,90000,Paid,2025-12-23
FEE0068,S0068,50000,Paid,2024-08-12
FEE0069,S0069,65000,Pending,2025-01-08
FEE0070,S0070,50000,Partial,2024-12-22
FEE0071,S0071,50000,Partial,2025-07-16
FEE0072,S0072,80000,Pending,2025-08-11
FEE0073,S0073,65000,Paid,2026-03-01
FEE0074,S0074,70000,Partial,2025-11-16
FEE0075,S0075,70000,Paid,2025-07-29
FEE0076,S0076,70000,Pending,2025-04-16
FEE0077,S0077,50000,Paid,2025-01-28
FEE0078,S0078,80000,Partial,2026-05-15
FEE0079,S0079,90000,Paid,2026-01-27
FEE0080,S0080,70000,Partial,2025-08-24
