hostel_id,hostel_name,room_number,room_type,student_id
H0001,Boys Hostel B,144,Double,S0693
H0002,Boys Hostel A,402,Single,S0907
H0003,Boys Hostel B,119,Double,S0870
H0004,Girls Hostel A,369,Triple,S0745
H0005,Girls Hostel A,294,Double,S0157
H0006,Girls Hostel A,423,Triple,S0512
H0007,Boys Hostel A,428,Triple,S0924
H0008,Girls Hostel A,135,Double,S0488
H0009,Boys Hostel B,378,Triple,S0905
H0010,Girls Hostel B,156,Triple,S0457
H0011,Girls Hostel A,132,Double,S0527
H0012,Girls Hostel A,110,Single,S0798
H0013,Girls Hostel A,301,Triple,S0859
H0014,Girls Hostel B,400,Single,S0537
H0015,Boys Hostel A,238,Triple,S0348
H0016,Boys Hostel A,209,Double,S0192
H0017,Girls Hostel A,359,Single,S0526
H0018,Boys Hostel A,106,Triple,S0461
H0019,Girls Hostel B,193,Single,S0968
H0020,Boys Hostel A,150,Single,S0897
H0021,Boys Hostel B,249,Single,S0726
H0022,Girls Hostel B,134,Triple,S0529
H0023,Boys Hostel B,106,Double,S0618
H0024,Boys Hostel A,400,Single,S0952
H0025,Girls Hostel B,256,Single,S0828
H0026,Boys Hostel A,234,Single,S0506
H0027,Girls Hostel A,143,Double,S0465
H0028,Girls Hostel B,310,Single,S0019
H0029,Girls Hostel B,389,Triple,S0800
H0030,Girls Hostel A,212,Single,S0039
H0031,Boys Hostel A,287,Double,S0188
H0032,Girls Hostel B,274,Double,S0448
H0033,Boys Hostel A,425,Single,S0149
H0034,Boys Hostel B,375,Double,S0433
H0035,Boys Hostel A,138,Double,S0549
H0036,Boys Hostel A,108,Single,S0909
H0037,Girls Hostel B,173,Double,S0587
H0038,Girls Hostel B,127,Double,S0774
H0039,Girls Hostel B,256,Double,S0906
H0040,Boys Hostel A,228,Triple,S0444
H0041,Boys Hostel A,288,Double,S0336
H0042,Girls Hostel B,203,Triple,S0421
H0043,Girls Hostel A,157,Double,S0414
H0044,Boys Hostel A,190,Single,S0919
H0045,Girls Hostel B,356,Double,S0257
H0046,Girls Hostel A,285,Triple,S0957
H0047,Boys Hostel A,422,Single,S0517
H0048,Girls Hostel A,143,Double,S0775
H0049,Girls Hostel A,222,Triple,S0495
H0050,Boys Hostel B,390,Double,S0302
H0051,Boys Hostel B,220,Single,S0059
H0052,Boys Hostel B,320,Double,S0939
H0053,Boys Hostel B,217,Triple,S0220
H0054,Girls Hostel A,260,Triple,S0075
H0055,Girls Hostel A,333,Triple,S0539
H0056,Boys Hostel B,391,Single,S0197
H0057,Boys Hostel A,385,Double,S0445
H0058,Boys Hostel A,266,Triple,S0924
H0059,Girls Hostel A,306,Single,S0979
H0060,Boys Hostel A,449,Single,S0910
H0061,Boys Hostel A,273,Double,S0380
H0062,Girls Hostel B,392,Double,S0431
H0063,Boys Hostel B,231,Single,S0117
H0064,Girls Hostel B,181,Single,S0187
H0065,Girls Hostel B,449,Triple,S0933
H0066,Boys Hostel B,442,Double,S0892
H0067,Girls Hostel A,239,Triple,S0056
H0068,Boys Hostel B,171,Single,S0079
H0069,Girls Hostel A,322,Triple,S0344
H0070,Girls Hostel A,187,Triple,S0898
H0071,Boys Hostel B,132,Single,S0832
H0072,Boys Hostel B,225,Double,S0476
H0073,Boys Hostel B,327,Single,S0906
H0074,Boys Hostel B,376,Triple,S0368
H0075,Boys Hostel A,287,Single,S0270
H0076,Girls Hostel B,247,Triple,S0862
H0077,Girls Hostel B,307,Triple,S0765
H0078,Boys Hostel B,115,Double,S0355
H0079,Girls Hostel A,195,Double,S0593
H0080,Girls Hostel A,385,Triple,S0791
H0081,Boys Hostel B,217,Double,S0821
H0082,Boys Hostel B,342,Triple,S0356
H0083,Girls Hostel A,177,Triple,S0233
H0084,Boys Hostel B,243,Triple,S0163
H0085,Girls Hostel A,352,Double,S0637
H0086,Boys Hostel A,255,Triple,S0125
H0087,Girls Hostel B,172,Single,S0546
H0088,Boys Hostel B,175,Single,S0029
H0089,Boys Hostel B,383,Single,S0465
H0090,Girls Hostel B,394,Double,S0961
H0091,Boys Hostel B,431,Double,S0473
H0092,Girls Hostel A,267,Single,S0499
H0093,Boys Hostel A,217,Single,S0044
H0094,Girls Hostel A,316,Triple,S0492
H0095,Boys Hostel A,442,Double,S0908
H0096,Girls Hostel A,365,Single,S0071
H0097,Boys Hostel B,136,Triple,S0534
H0098,Boys Hostel B,196,Double,S0971
H0099,Girls Hostel B,317,Single,S0261
H0100,Boys Hostel B,323,Single,S0610
H0101,Boys Hostel B,268,Double,S0089
H0102,Boys Hostel B,367,Single,S0702
H0103,Boys Hostel A,279,Triple,S0745
H0104,Boys Hostel B,186,Triple,S0571
H0105,Girls Hostel B,250,Double,S0220
H0106,Girls Hostel B,404,Double,S0002
H0107,Girls Hostel A,184,Triple,S0425
H0108,Boys Hostel B,237,Double,S0501
H0109,Girls Hostel A,271,Single,S0216
H0110,Girls Hostel A,358,Single,S0664
H0111,Girls Hostel B,390,Triple,S0771
H0112,Boys Hostel A,169,Double,S0451
H0113,Boys Hostel A,249,Double,S0617
H0114,Boys Hostel A,443,Double,S0107
H0115,Boys Hostel B,209,Single,S0879
H0116,Boys Hostel B,272,Single,S0544
H0117,Girls Hostel B,270,Triple,S0370
H0118,Boys Hostel A,289,Single,S0761
H0119,Girls Hostel A,403,Triple,S0484
H0120,Girls Hostel A,236,Single,S0954
H0121,Boys Hostel A,223,Double,S0512
H0122,Girls Hostel A,329,Double,S0227
H0123,Boys Hostel A,245,Triple,S0329
H0124,Girls Hostel A,380,Single,S0341
H0125,Boys Hostel B,121,Double,S0403
