book_id,book_name,author,publisher,publication_year
B00001,Data Structures,Silberschatz,Oxford,2016
B00002,Operating Systems,Stallings,McGraw Hill,2020
B00003,Discrete Mathematics,Ross,Wiley,2018
B00004,Python Programming,Stallings,Pearson,2011
B00005,Compiler Design,Stallings,Pearson,2020
B00006,Algorithms,Goodfellow,Oxford,2025
B00007,Statistics,Tanenbaum,McGraw Hill,2010
B00008,Cyber Security,Goodfellow,McGraw Hill,2012
B00009,Data Mining,Goodfellow,Pearson,2025
B00010,Computer Networks,Korth,Pearson,2025
B00011,Cloud Computing,Ross,Oxford,2010
B00012,Cyber Security,Stallings,Oxford,2026
B00013,Compiler Design,Galvin,Wiley,2013
B00014,Artificial Intelligence,Silberschatz,Wiley,2018
B00015,Software Engineering,Cormen,Pearson,2018
B00016,Computer Networks,Ross,Springer,2025
B00017,Operating Systems,Stallings,McGraw Hill,2017
B00018,Operating Systems,Cormen,McGraw Hill,2026
B00019,Cyber Security,Sutton,McGraw Hill,2013
B00020,Discrete Mathematics,Stallings,Wiley,2011
B00021,Deep Learning,Cormen,Wiley,2015
B00022,Operating Systems,Sutton,McGraw Hill,2026
B00023,Data Mining,Galvin,Wiley,2012
B00024,Discrete Mathematics,Tanenbaum,Pearson,2020
B00025,Microprocessors,Goodfellow,McGraw Hill,2026
B00026,Software Engineering,Stallings,Wiley,2012
B00027,Software Engineering,Stallings,Oxford,2026
B00028,Java Programming,Korth,Oxford,2019
B00029,Data Mining,Sutton,Pearson,2017
B00030,Discrete Mathematics,Sutton,Pearson,2022
B00031,Python Programming,Cormen,McGraw Hill,2012
B00032,Database Management Systems,Stallings,McGraw Hill,2025
B00033,Compiler Design,Cormen,Wiley,2010
B00034,Algorithms,Silberschatz,Wiley,2012
B00035,Cloud Computing,Cormen,Wiley,2025
B00036,Data Mining,Silberschatz,Springer,2026
B00037,Data Structures,Goodfellow,McGraw Hill,2014
B00038,Computer Networks,Goodfellow,Springer,2011
B00039,Big Data,Korth,Wiley,2026
B00040,Python Programming,Silberschatz,Oxford,2018
B00041,Database Management Systems,Cormen,Oxford,2020
B00042,Database Management Systems,Sutton,McGraw Hill,2019
B00043,Algorithms,Ross,McGraw Hill,2022
B00044,Java Programming,Galvin,Oxford,2010
B00045,Database Management Systems,Ross,McGraw Hill,2020
B00046,Artificial Intelligence,Tanenbaum,Wiley,2022
B00047,Database Management Systems,Silberschatz,Wiley,2011
B00048,Statistics,Silberschatz,Springer,2018
B00049,Data Mining,Cormen,Pearson,2025
B00050,Digital Logic,Galvin,Pearson,2012
B00051,Discrete Mathematics,James,Pearson,2018
B00052,Microprocessors,Goodfellow,Pearson,2025
B00053,Statistics,Sutton,McGraw Hill,2024
B00054,Artificial Intelligence,Galvin,McGraw Hill,2019
B00055,Algorithms,Silberschatz,Pearson,2026
B00056,Statistics,Cormen,McGraw Hill,2023
B00057,Data Structures,Galvin,Oxford,2010
B00058,Digital Logic,Goodfellow,Wiley,2019
B00059,Big Data,Silberschatz,Pearson,2016
B00060,Discrete Mathematics,Sutton,Pearson,2019
B00061,Python Programming,Tanenbaum,Springer,2010
B00062,Operating Systems,Stallings,Springer,2012
B00063,Big Data,Ross,Pearson,2010
B00064,Cloud Computing,Sutton,Wiley,2016
B00065,Discrete Mathematics,Tanenbaum,McGraw Hill,2016
B00066,Data Structures,Goodfellow,Springer,2024
B00067,Software Engineering,Galvin,Springer,2024
B00068,Statistics,Sutton,Oxford,2022
B00069,Algorithms,Sutton,Springer,2018
B00070,Big Data,Silberschatz,Wiley,2022
B00071,Big Data,Silberschatz,Oxford,2015
B00072,Artificial Intelligence,Tanenbaum,Springer,2011
B00073,Python Programming,Korth,Springer,2020
B00074,Operating Systems,Silberschatz,Pearson,2024
B00075,Big Data,Ross,Oxford,2010
B00076,Java Programming,Goodfellow,Springer,2013
B00077,Cyber Security,Tanenbaum,Oxford,2010
B00078,Cyber Security,Goodfellow,McGraw Hill,2024
B00079,Discrete Mathematics,Tanenbaum,Pearson,2016
B00080,Data Structures,Korth,Oxford,2014
B00081,Data Mining,Tanenbaum,Wiley,2019
B00082,Statistics,Ross,McGraw Hill,2025
B00083,Deep Learning,James,Springer,2021
B00084,Statistics,Stallings,McGraw Hill,2020
B00085,Computer Networks,Galvin,Oxford,2015
B00086,Statistics,Cormen,Springer,2010
B00087,Discrete Mathematics,Goodfellow,McGraw Hill,2013
B00088,Digital Logic,Sutton,Springer,2019
B00089,Algorithms,Tanenbaum,Oxford,2019
B00090,Computer Networks,Goodfellow,Pearson,2025
B00091,Python Programming,Silberschatz,McGraw Hill,2015
B00092,Java Programming,Galvin,Springer,2013
B00093,Computer Networks,Silberschatz,Wiley,2010
B00094,Machine Learning,Korth,Oxford,2011
B00095,Big Data,Korth,Wiley,2018
B00096,Discrete Mathematics,James,Springer,2019
B00097,Software Engineering,Stallings,Oxford,2011
B00098,Java Programming,Tanenbaum,Pearson,2021
B00099,Software Engineering,Korth,Springer,2010
B00100,Cloud Computing,Silberschatz,Springer,2015
B00101,Cyber Security,Korth,McGraw Hill,2017
B00102,Discrete Mathematics,Goodfellow,Oxford,2011
B00103,Statistics,Sutton,Springer,2021
B00104,Statistics,Galvin,Oxford,2012
B00105,Big Data,Cormen,McGraw Hill,2018
B00106,Machine Learning,James,Oxford,2017
B00107,Database Management Systems,Galvin,Wiley,2021
B00108,Software Engineering,Ross,Oxford,2011
B00109,Algorithms,Galvin,Pearson,2018
B00110,Database Management Systems,Sutton,Springer,2022
B00111,Cyber Security,Ross,Wiley,2018
B00112,Deep Learning,James,Wiley,2014
B00113,Java Programming,Silberschatz,Springer,2021
B00114,Artificial Intelligence,Silberschatz,McGraw Hill,2023
B00115,Cloud Computing,Goodfellow,Pearson,2018
B00116,Digital Logic,Ross,McGraw Hill,2016
B00117,Data Structures,Ross,Springer,2011
B00118,Big Data,Goodfellow,Pearson,2011
