result_id,student_id,subject_id,marks,grade,year,semester
1,S0727,SUB0053,77,D,2022,5
2,S0890,SUB0323,54,A,2022,2
3,S0135,SUB0764,81,A+,2023,2
4,S0094,SUB0800,80,F,2022,7
5,S0487,SUB0580,38,A,2025,3
6,S0574,SUB0714,96,A,2026,8
7,S0678,SUB0793,85,A,2026,7
8,S0981,SUB0134,67,F,2025,4
9,S0339,SUB0446,55,D,2023,1
10,S0641,SUB0400,59,F,2023,4
11,S0102,SUB0056,98,C,2024,3
12,S0436,SUB0683,65,C,2022,2
13,S0222,SUB0855,60,A,2025,5
14,S0864,SUB0069,84,C,2024,1
15,S0072,SUB0546,54,A,2026,7
16,S0241,SUB0312,51,C,2024,3
17,S0401,SUB0064,85,D,2022,5
18,S0331,SUB0314,96,D,2024,4
19,S0135,SUB0407,66,F,2023,1
20,S0442,SUB0555,94,D,2025,1
21,S0164,SUB0601,66,A+,2024,4
22,S0798,SUB0056,99,B,2025,1
23,S0200,SUB0116,92,B,2025,1
24,S0650,SUB0462,78,A,2023,4
25,S0886,SUB0577,88,D,2022,8
26,S0439,SUB0963,64,C,2022,3
27,S0632,SUB0816,66,A,2022,6
28,S0527,SUB0271,85,C,2023,8
29,S0260,SUB0606,82,B,2025,8
30,S0642,SUB0284,62,B,2024,4
31,S0509,SUB0853,47,F,2023,3
32,S0764,SUB0965,42,C,2022,2
33,S0364,SUB0577,70,A+,2022,1
34,S0595,SUB0780,61,D,2024,3
35,S0397,SUB0091,70,B,2024,5
36,S0176,SUB0873,85,B+,2024,3
37,S0965,SUB0045,44,A+,2022,7
38,S0082,SUB0327,44,D,2024,3
39,S0454,SUB0870,42,F,2026,8
40,S0486,SUB0154,57,F,2023,3
41,S0306,SUB0099,84,F,2025,7
42,S0244,SUB0206,73,B,2026,3
43,S0153,SUB0749,93,C,2024,3
44,S0822,SUB0825,37,B+,2023,2
45,S0875,SUB0626,62,B+,2023,2
46,S0290,SUB0622,64,C,2025,3
47,S0455,SUB0256,55,D,2024,1
48,S0376,SUB0917,80,A,2022,6
49,S0827,SUB0571,92,C,2022,3
50,S0099,SUB0486,85,D,2023,7
51,S0267,SUB0459,62,A,2022,3
52,S0635,SUB0157,63,A,2022,7
53,S0662,SUB0217,96,B+,2025,1
54,S0665,SUB0162,65,B,2023,1
55,S0322,SUB0710,82,A,2022,2
56,S0447,SUB0823,54,B+,2023,5
57,S0861,SUB0106,99,B,2023,6
58,S0177,SUB0307,41,A,2022,3
59,S0388,SUB0456,72,C,2023,1
60,S0242,SUB0358,73,F,2022,3
61,S0845,SUB0011,82,A+,2026,6
62,S0325,SUB0645,54,A,2022,4
63,S0201,SUB0687,90,B+,2025,5
64,S0023,SUB0046,35,C,2026,6
65,S0248,SUB0441,82,A+,2022,4
66,S0300,SUB0035,100,A+,2024,6
67,S0544,SUB0788,67,A,2026,7
68,S0854,SUB0532,50,A+,2024,7
69,S0785,SUB0397,85,B+,2026,2
70,S0104,SUB0347,81,F,2024,2
71,S0631,SUB0840,53,B,2026,5
72,S0051,SUB0748,95,B,2023,2
73,S0955,SUB0859,90,B+,2023,3
74,S0201,SUB0538,97,C,2026,6
75,S0138,SUB0952,62,A+,2023,6
76,S0256,SUB0021,98,F,2023,8
77,S0118,SUB0980,38,F,2026,3
78,S0880,SUB0382,99,B+,2022,5
79,S0739,SUB0955,62,F,2022,4
80,S0533,SUB0580,85,B,2025,4
81,S0911,SUB0865,37,A+,2024,2
82,S0768,SUB0929,80,D,2024,2
83,S0721,SUB0883,95,B,2024,2
84,S0352,SUB0716,53,C,2023,2
85,S0001,SUB0497,97,A+,2023,8
86,S0815,SUB0084,61,B+,2026,1
87,S0100,SUB0959,56,B,2024,6
88,S0418,SUB0208,49,B+,2023,1
89,S0365,SUB0590,85,B+,2023,4
90,S0280,SUB0712,99,C,2026,2
91,S0546,SUB0501,93,A+,2023,5
92,S0834,SUB0029,88,B+,2026,5
93,S0045,SUB0968,36,B+,2022,2
94,S0061,SUB0488,75,C,2022,7
95,S0129,SUB0415,89,A,2023,3
96,S0191,SUB0421,76,B+,2024,4
97,S0503,SUB0239,87,B,2022,1
98,S0351,SUB0987,91,A,2023,5
99,S0302,SUB0314,60,D,2023,7
100,S0573,SUB0599,69,A+,2023,1
101,S0131,SUB0566,61,F,2023,4
102,S0008,SUB0259,96,C,2024,4
103,S0519,SUB0844,95,C,2026,1
104,S0774,SUB0299,35,F,2026,6
105,S0525,SUB0633,52,F,2026,7
106,S0205,SUB0976,84,A,2022,8
107,S0754,SUB0270,54,D,2025,7
108,S0841,SUB0920,40,F,2026,5
109,S0976,SUB0639,92,D,2023,2
110,S0235,SUB0677,42,D,2022,6
111,S0343,SUB0800,40,F,2024,6
112,S0399,SUB0801,78,B,2026,1
113,S0285,SUB0522,93,F,2022,3
114,S0766,SUB0976,68,B,2022,6
115,S0272,SUB0181,50,F,2026,8
116,S0334,SUB0718,48,A+,2026,7
117,S0712,SUB0352,96,F,2025,3
118,S0653,SUB0293,99,B+,2025,7
119,S0394,SUB0049,35,B+,2024,2
120,S0161,SUB0382,61,D,2024,2
121,S0187,SUB0560,65,A+,2022,8
122,S0924,SUB0449,83,B+,2023,1
123,S0455,SUB0305,47,B+,2026,4
124,S0430,SUB0550,41,B+,2025,6
125,S0377,SUB0186,36,C,2026,6
126,S0878,SUB0075,75,A+,2022,6
127,S0946,SUB0155,75,B,2023,3
128,S0915,SUB0735,56,A,2023,2
129,S0307,SUB0696,76,A,2022,3
130,S0791,SUB0577,70,B+,2025,8
131,S0235,SUB0507,92,C,2025,3
132,S0483,SUB0958,78,B+,2024,5
133,S0771,SUB0473,53,A+,2024,2
134,S0557,SUB0009,65,C,2024,6
135,S0002,SUB0524,88,A+,2025,8
136,S0259,SUB0577,51,A+,2024,5
137,S0711,SUB0853,57,C,2022,7
138,S0114,SUB0105,86,C,2023,6
139,S0614,SUB0954,81,B+,2022,6
140,S0754,SUB0077,94,A,2022,3
141,S0287,SUB0229,36,F,2026,8
142,S0127,SUB0259,57,A+,2026,3
143,S0194,SUB0672,76,A+,2022,6
144,S0467,SUB0452,90,A,2025,7
145,S0836,SUB0317,86,B,2025,8
146,S0276,SUB0648,37,B+,2023,2
147,S0181,SUB0475,53,C,2022,7
148,S0029,SUB0337,92,F,2023,3
149,S0298,SUB0997,38,A+,2025,6
150,S0222,SUB0271,47,C,2023,5
