attendance_id,student_id,subject_id,date,status
1,S0973,SUB0886,2026-01-15,Absent
2,S0175,SUB0944,2025-12-22,Absent
3,S0962,SUB0608,2025-08-19,Absent
4,S0667,SUB0554,2026-07-16,Present
5,S0176,SUB0993,2026-05-17,Absent
6,S0357,SUB0189,2025-10-15,Present
7,S0082,SUB0553,2025-08-04,Absent
8,S0315,SUB0681,2025-11-18,Absent
9,S0165,SUB0621,2025-08-21,Present
10,S0515,SUB0228,2025-12-04,Present
11,S0059,SUB0858,2025-08-05,Leave
12,S0407,SUB0556,2025-08-08,Absent
13,S0067,SUB0498,2026-06-04,Leave
14,S0653,SUB0105,2025-09-09,Leave
15,S0249,SUB0385,2025-10-20,Present
16,S0093,SUB0587,2026-03-17,Present
17,S0527,SUB0950,2025-10-08,Present
18,S0444,SUB0616,2025-11-10,Present
19,S0824,SUB0296,2026-03-25,Present
20,S0314,SUB0203,2025-09-07,Leave
21,S0353,SUB0119,2025-08-12,Present
22,S0208,SUB0268,2026-01-02,Absent
23,S0567,SUB0974,2026-01-29,Absent
24,S0671,SUB0881,2026-03-01,Leave
25,S0738,SUB0638,2026-02-25,Absent
26,S0947,SUB0685,2026-05-05,Leave
27,S0922,SUB0150,2026-01-08,Absent
28,S0987,SUB0960,2025-09-27,Leave
29,S0316,SUB0809,2026-05-25,Present
30,S0051,SUB0208,2026-03-16,Present
31,S0708,SUB0186,2026-04-26,Absent
32,S0514,SUB0892,2026-01-02,Leave
33,S0454,SUB0861,2025-09-23,Leave
34,S0763,SUB0190,2026-06-06,Present
35,S0978,SUB0774,2025-11-08,Leave
36,S0179,SUB0449,2026-07-07,Absent
37,S0706,SUB0656,2026-01-01,Present
38,S0525,SUB0938,2026-04-16,Present
39,S0876,SUB0608,2025-12-20,Absent
40,S0134,SUB0677,2025-11-21,Absent
41,S0016,SUB0613,2025-07-31,Present
42,S0488,SUB0427,2025-08-10,Present
43,S0063,SUB0596,2025-10-22,Present
44,S0464,SUB0960,2026-03-02,Absent
45,S0361,SUB0469,2025-09-07,Absent
46,S0309,SUB0665,2025-08-04,Absent
47,S0623,SUB0343,2025-10-31,Leave
48,S0097,SUB0784,2025-08-25,Absent
49,S0770,SUB0080,2025-09-09,Absent
50,S0415,SUB0147,2026-03-03,Present
51,S0190,SUB0093,2026-04-25,Present
52,S0378,SUB0767,2026-04-28,Leave
53,S0301,SUB0185,2025-11-28,Absent
54,S0580,SUB0097,2025-11-05,Present
55,S0365,SUB0635,2025-12-21,Leave
56,S0883,SUB0308,2026-06-08,Leave
57,S0314,SUB0755,2026-03-25,Present
58,S0034,SUB0409,2025-09-03,Leave
59,S0852,SUB0689,2026-01-01,Present
60,S0302,SUB0501,2025-09-13,Leave
61,S0704,SUB0446,2025-12-19,Absent
62,S0141,SUB0282,2025-10-29,Leave
63,S0042,SUB0543,2025-09-29,Absent
64,S0559,SUB0086,2025-12-15,Leave
65,S0080,SUB0466,2025-07-24,Absent
66,S0790,SUB0324,2025-07-24,Present
67,S0191,SUB0714,2025-09-22,Absent
68,S0173,SUB0683,2025-07-22,Leave
69,S0605,SUB0262,2025-11-01,Leave
70,S0479,SUB0217,2026-06-18,Absent
71,S0627,SUB0253,2025-08-15,Present
72,S0587,SUB0476,2025-07-26,Present
73,S0865,SUB0710,2026-01-09,Leave
74,S0268,SUB0620,2025-09-04,Absent
75,S0256,SUB0990,2026-05-17,Absent
76,S0088,SUB0484,2025-08-05,Present
77,S0769,SUB0081,2026-01-17,Present
78,S0812,SUB0354,2025-09-26,Absent
79,S0450,SUB0477,2026-03-02,Absent
80,S0960,SUB0143,2026-06-10,Present
81,S0387,SUB0349,2025-08-20,Leave
82,S0781,SUB0818,2026-07-04,Present
83,S0992,SUB0374,2026-02-01,Present
84,S0246,SUB0289,2025-12-10,Absent
85,S0448,SUB0325,2025-11-16,Present
86,S0103,SUB0687,2025-10-30,Leave
87,S0178,SUB0560,2026-04-02,Leave
88,S0868,SUB0728,2025-12-04,Absent
89,S0531,SUB0403,2026-04-28,Leave
90,S0794,SUB0077,2025-11-28,Present
