transaction_id,student_id,book_id,issue_date,return_date,status
T00001,S0940,B02999,2026-07-08,2026-08-13,Returned
T00002,S0303,B00175,2025-07-19,2026-01-21,Issued
T00003,S0684,B02486,2026-05-23,2026-05-25,Returned
T00004,S0009,B01621,2025-06-26,2026-01-30,Issued
T00005,S0401,B02912,2025-06-06,2025-07-29,Late Return
T00006,S0566,B04801,2025-11-03,2026-04-13,Late Return
T00007,S0660,B00285,2024-09-10,2025-07-17,Late Return
T00008,S0729,B04666,2024-07-17,2025-10-15,Late Return
T00009,S0848,B01575,2025-01-22,2025-05-14,Issued
T00010,S0628,B02861,2025-12-01,2026-06-29,Late Return
T00011,S0048,B04285,2024-12-13,2026-04-19,Returned
T00012,S0463,B01207,2025-07-10,2025-09-16,Returned
T00013,S0617,B01527,2024-12-04,2025-11-27,Issued
T00014,S0331,B04372,2024-11-08,2026-05-07,Issued
T00015,S0059,B04634,2025-01-16,2025-11-06,Returned
T00016,S0245,B04298,2026-06-30,2026-08-04,Late Return
T00017,S0632,B04517,2024-10-31,2025-01-08,Returned
T00018,S0906,B03667,2025-02-21,2026-03-17,Returned
T00019,S0230,B02370,2025-03-02,2026-06-17,Issued
T00020,S0074,B03786,2024-08-04,2025-02-14,Returned
T00021,S0689,B03834,2026-06-25,2026-06-30,Issued
T00022,S0417,B04202,2025-12-26,2026-01-11,Issued
T00023,S0221,B03473,2024-09-07,2026-02-25,Returned
T00024,S0348,B01575,2026-05-12,2026-07-06,Issued
T00025,S0012,B02144,2026-02-10,2026-08-10,Returned
T00026,S0273,B03958,2025-07-16,2025-09-13,Returned
T00027,S0204,B01487,2024-11-13,2025-09-02,Late Return
T00028,S0459,B00506,2025-07-28,2025-09-22,Late Return
T00029,S0004,B03407,2025-05-04,2026-05-21,Returned
T00030,S0751,B00490,2025-11-15,2026-06-16,Returned
T00031,S0567,B04911,2026-01-09,2026-06-09,Late Return
T00032,S0067,B00190,2024-10-30,2025-02-05,Issued
T00033,S0365,B04191,2025-02-13,2025-12-20,Returned
T00034,S0674,B04140,2025-06-12,2025-06-29,Returned
T00035,S0423,B01061,2026-04-03,2026-08-09,Issued
T00036,S0986,B02699,2025-06-21,2026-03-06,Issued
T00037,S0870,B02094,2024-11-13,2025-04-01,Late Return
T00038,S0436,B00334,2026-04-17,2026-06-28,Late Return
T00039,S0886,B00324,2025-12-11,2026-07-23,Late Return
T00040,S0062,B01348,2025-07-29,2026-06-20,Returned
T00041,S0928,B03183,2026-06-16,2026-07-04,Issued
T00042,S0088,B00017,2026-06-09,2026-06-11,Returned
T00043,S0264,B01855,2024-09-12,2026-07-05,Late Return
T00044,S0919,B02324,2025-03-21,2025-06-01,Issued
T00045,S0530,B03794,2025-02-27,2025-07-01,Returned
T00046,S0137,B04408,2026-04-08,2026-05-11,Late Return
T00047,S0397,B01100,2024-07-21,2024-11-02,Returned
T00048,S0656,B00697,2026-01-08,2026-06-08,Late Return
T00049,S0232,B03178,2026-03-21,2026-05-29,Late Return
T00050,S0694,B02928,2026-04-29,2026-05-18,Issued
T00051,S0816,B01000,2024-09-26,2025-08-23,Issued
T00052,S0677,B00050,2025-06-13,2026-04-29,Issued
T00053,S0298,B03174,2025-07-09,2026-06-03,Returned
T00054,S0007,B00150,2026-01-07,2026-06-17,Returned
T00055,S0809,B00795,2025-06-16,2026-01-27,Issued
T00056,S0379,B04451,2025-02-14,2026-05-15,Returned
T00057,S0858,B04444,2025-07-25,2026-01-30,Late Return
T00058,S0456,B04645,2025-12-25,2026-04-13,Late Return
T00059,S0827,B01470,2025-11-17,2026-08-05,Late Return
T00060,S0020,B03965,2026-03-06,2026-07-23,Late Return
T00061,S0483,B02840,2025-10-13,2025-11-28,Returned
T00062,S0123,B00258,2025-06-07,2026-06-30,Late Return
T00063,S0315,B04143,2026-04-08,2026-05-18,Late Return
T00064,S0092,B04988,2026-01-21,2026-06-12,Issued
T00065,S0901,B03396,2025-07-03,2025-12-30,Issued
T00066,S0899,B03726,2024-10-12,2025-08-09,Late Return
T00067,S0225,B03580,2024-12-10,2026-05-20,Late Return
T00068,S0283,B00396,2025-06-04,2025-07-20,Late Return
T00069,S0479,B01524,2025-04-06,2026-04-01,Returned
T00070,S0793,B01148,2026-06-15,2026-06-27,Late Return
T00071,S0042,B00724,2024-08-31,2025-04-03,Issued
T00072,S0781,B04617,2025-12-03,2026-04-09,Returned
T00073,S0361,B02414,2025-01-18,2026-04-12,Late Return
T00074,S0833,B04760,2025-12-16,2026-03-22,Late Return
T00075,S0070,B03512,2025-04-19,2025-12-08,Late Return
T00076,S0282,B01663,2026-01-01,2026-02-16,Issued
