placement_id,student_id,company_name,job_role,package_lpa,placement_year
P0001,S0001,Google,ML Engineer,13,2025
P0002,S0002,Google,Data Analyst,11,2024
P0003,S0003,Microsoft,ML Engineer,39,2025
P0004,S0004,IBM,Data Engineer,15,2024
P0005,S0005,Adobe,Data Analyst,10,2024
P0006,S0006,Wipro,Data Engineer,17,2025
P0007,S0007,Adobe,ML Engineer,21,2025
P0008,S0008,HCL,Data Engineer,15,2026
P0009,S0009,Google,ML Engineer,6,2026
P0010,S0010,TCS,Data Analyst,29,2025
P0011,S0011,IBM,Cloud Engineer,8,2026
P0012,S0012,Oracle,Backend Developer,32,2024
P0013,S0013,Microsoft,Data Engineer,21,2026
P0014,S0014,Wipro,Data Analyst,15,2026
P0015,S0015,Amazon,Cloud Engineer,34,2025
P0016,S0016,TCS,Software Engineer,6,2026
P0017,S0017,HCL,Data Analyst,30,2026
P0018,S0018,Microsoft,Data Analyst,22,2026
P0019,S0019,Deloitte,Backend Developer,17,2025
P0020,S0020,IBM,ML Engineer,19,2024
P0021,S0021,Amazon,Data Analyst,37,2026
P0022,S0022,Wipro,Data Engineer,4,2025
P0023,S0023,Adobe,Cloud Engineer,18,2025
P0024,S0024,Intel,Software Engineer,31,2024
P0025,S0025,Amazon,Cloud Engineer,25,2024
P0026,S0026,Wipro,ML Engineer,13,2025
P0027,S0027,Amazon,Backend Developer,14,2026
P0028,S0028,Accenture,Backend Developer,29,2024
P0029,S0029,Wipro,ML Engineer,30,2025
P0030,S0030,Intel,ML Engineer,13,2026
P0031,S0031,Deloitte,Software Engineer,9,2026
P0032,S0032,IBM,ML Engineer,30,2024
P0033,S0033,Accenture,Data Engineer,9,2025
P0034,S0034,Capgemini,Software Engineer,16,2026
P0035,S0035,Intel,Software Engineer,37,2024
P0036,S0036,IBM,Software Engineer,16,2026
P0037,S0037,Cisco,Cloud Engineer,16,2024
P0038,S0038,IBM,Backend Developer,12,2026
P0039,S0039,Deloitte,ML Engineer,34,2024
P0040,S0040,Infosys,Data Analyst,37,2026
P0041,S0041,Wipro,Software Engineer,8,2024
P0042,S0042,Adobe,Backend Developer,8,2024
P0043,S0043,Cisco,Cloud Engineer,37,2024
P0044,S0044,Microsoft,ML Engineer,10,2025
P0045,S0045,IBM,ML Engineer,33,2026
P0046,S0046,TCS,Cloud Engineer,16,2024
P0047,S0047,TCS,Data Engineer,20,2025
P0048,S0048,Amazon,Data Analyst,6,2025
P0049,S0049,Infosys,Software Engineer,28,2025
P0050,S0050,Cisco,Data Engineer,20,2025
P0051,S0051,IBM,ML Engineer,6,2026
P0052,S0052,Infosys,Data Engineer,21,2025
P0053,S0053,Cisco,Data Engineer,29,2024
P0054,S0054,Deloitte,ML Engineer,9,2024
P0055,S0055,Amazon,ML Engineer,32,2024
P0056,S0056,Infosys,Data Analyst,27,2025
P0057,S0057,Capgemini,ML Engineer,18,2024
P0058,S0058,Infosys,Backend Developer,29,2026
P0059,S0059,TCS,Backend Developer,31,2024
P0060,S0060,Adobe,Backend Developer,11,2025
P0061,S0061,Amazon,Data Analyst,39,2026
P0062,S0062,TCS,Backend Developer,20,2025
P0063,S0063,Wipro,Data Engineer,39,2025
P0064,S0064,Oracle,Software Engineer,12,2026
P0065,S0065,Accenture,ML Engineer,21,2025
P0066,S0066,TCS,Backend Developer,13,2026
P0067,S0067,Wipro,ML Engineer,17,2026
P0068,S0068,Oracle,Software Engineer,16,2024
P0069,S0069,Intel,Software Engineer,33,2024
P0070,S0070,HCL,Data Analyst,8,2026
P0071,S0071,TCS,Data Analyst,7,2026
P0072,S0072,Amazon,ML Engineer,28,2025
P0073,S0073,Microsoft,Data Analyst,17,2024
P0074,S0074,Infosys,Cloud Engineer,20,2024
P0075,S0075,IBM,Cloud Engineer,36,2026
P0076,S0076,Capgemini,Data Engineer,26,2025
P0077,S0077,Cisco,ML Engineer,12,2024
P0078,S0078,Google,Data Analyst,40,2024
P0079,S0079,TCS,Backend Developer,15,2024
P0080,S0080,Adobe,ML Engineer,39,2025
P0081,S0081,Accenture,Data Analyst,19,2025
P0082,S0082,Accenture,Software Engineer,15,2024
P0083,S0083,Infosys,Data Engineer,12,2026
P0084,S0084,Wipro,Cloud Engineer,8,2025
P0085,S0085,Deloitte,Software Engineer,17,2024
P0086,S0086,Adobe,Data Analyst,20,2024
P0087,S0087,Capgemini,Cloud Engineer,18,2024
P0088,S0088,Microsoft,ML Engineer,19,2025
P0089,S0089,Cisco,Software Engineer,12,2024
P0090,S0090,Capgemini,Data Analyst,35,2024
P0091,S0091,Intel,Data Analyst,29,2024
P0092,S0092,Cisco,ML Engineer,28,2026
P0093,S0093,Adobe,Cloud Engineer,37,2024
P0094,S0094,TCS,ML Engineer,40,2024
P0095,S0095,Google,Data Analyst,31,2024
P0096,S0096,Intel,Backend Developer,40,2024
P0097,S0097,Google,Cloud Engineer,9,2025
P0098,S0098,Amazon,Data Analyst,13,2026
P0099,S0099,Wipro,Data Engineer,5,2026
P0100,S0100,Wipro,Cloud Engineer,7,2026
P0101,S0101,Deloitte,Data Analyst,15,2025
P0102,S0102,Oracle,Data Engineer,24,2025
P0103,S0103,Capgemini,Cloud Engineer,28,2026
P0104,S0104,Amazon,Software Engineer,5,2026
P0105,S0105,Capgemini,Software Engineer,39,2025
P0106,S0106,IBM,Cloud Engineer,27,2024
P0107,S0107,Infosys,Cloud Engineer,18,2026
P0108,S0108,Capgemini,Data Analyst,13,2024
P0109,S0109,Cisco,Cloud Engineer,38,2024
P0110,S0110,Capgemini,Data Analyst,24,2025
P0111,S0111,Wipro,Data Engineer,13,2024
P0112,S0112,Accenture,ML Engineer,15,2026
P0113,S0113,IBM,Cloud Engineer,39,2025
P0114,S0114,Infosys,Data Analyst,16,2026
P0115,S0115,HCL,Data Analyst,27,2024
P0116,S0116,Intel,Cloud Engineer,8,2025
P0117,S0117,Infosys,Software Engineer,13,2026
P0118,S0118,HCL,Data Engineer,5,2024
P0119,S0119,TCS,Data Engineer,38,2026
P0120,S0120,Intel,Data Analyst,8,2024
P0121,S0121,HCL,ML Engineer,36,2024
P0122,S0122,IBM,Data Analyst,26,2025
P0123,S0123,Oracle,ML Engineer,5,2025
P0124,S0124,Deloitte,Cloud Engineer,18,2025
P0125,S0125,Adobe,Backend Developer,35,2026
P0126,S0126,Wipro,ML Engineer,5,2024
P0127,S0127,HCL,Data Engineer,26,2024
P0128,S0128,Accenture,Data Engineer,29,2026
P0129,S0129,Infosys,Data Engineer,33,2025
P0130,S0130,Microsoft,Backend Developer,22,2025
P0131,S0131,Wipro,Data Engineer,25,2024
P0132,S0132,Deloitte,Data Engineer,28,2024
P0133,S0133,HCL,ML Engineer,6,2025
P0134,S0134,Cisco,Software Engineer,6,2025
P0135,S0135,Cisco,Cloud Engineer,20,2026
P0136,S0136,TCS,ML Engineer,18,2025
P0137,S0137,Wipro,Data Analyst,23,2024
P0138,S0138,Accenture,ML Engineer,19,2024
P0139,S0139,Adobe,Backend Developer,13,2025
P0140,S0140,TCS,Backend Developer,11,2026
P0141,S0141,Cisco,Software Engineer,21,2026
P0142,S0142,Adobe,Data Analyst,29,2024
