subject_id,subject_name,semester,credits,course_id
SUB0001,Machine Learning,7,3,C002
SUB0002,Computer Networks,3,3,C006
SUB0003,Object Oriented Programming,8,3,C003
SUB0004,Statistics,6,5,C007
SUB0005,Cyber Security,5,4,C008
SUB0006,Database Management System,5,2,C001
SUB0007,Engineering Mathematics,2,2,C004
SUB0008,Operating Systems,1,4,C003
SUB0009,Compiler Design,1,2,C001
SUB0010,Data Analytics,6,2,C004
SUB0011,Object Oriented Programming,2,3,C005
SUB0012,Digital Logic,2,2,C005
SUB0013,Data Mining,4,4,C001
SUB0014,Programming in Python,6,3,C004
SUB0015,Discrete Mathematics,8,3,C004
SUB0016,Microprocessors,2,2,C006
SUB0017,Engineering Mathematics,4,4,C003
SUB0018,Computer Networks,6,2,C004
SUB0019,Data Structures,7,2,C004
SUB0020,Artificial Intelligence,6,5,C008
SUB0021,Operating Systems,4,3,C010
SUB0022,Cyber Security,6,5,C009
SUB0023,Operating Systems,3,5,C006
SUB0024,Engineering Mathematics,4,2,C003
SUB0025,Software Engineering,4,4,C006
SUB0026,Object Oriented Programming,4,2,C007
SUB0027,Discrete Mathematics,5,2,C003
SUB0028,Programming in Java,7,4,C010
SUB0029,Microprocessors,5,2,C005
SUB0030,Software Engineering,4,3,C002
SUB0031,Microprocessors,3,5,C002
SUB0032,Programming in Python,1,5,C005
SUB0033,Data Structures,6,5,C003
SUB0034,Deep Learning,6,5,C009
SUB0035,Engineering Mathematics,4,2,C005
SUB0036,Data Analytics,5,3,C005
SUB0037,Software Engineering,7,5,C001
SUB0038,Database Management System,6,4,C008
SUB0039,Object Oriented Programming,6,4,C002
SUB0040,Cloud Computing,7,2,C003
SUB0041,Digital Logic,2,3,C004
SUB0042,Operating Systems,2,5,C005
SUB0043,Object Oriented Programming,5,3,C009
SUB0044,Microprocessors,6,2,C008
SUB0045,Deep Learning,3,3,C009
SUB0046,Discrete Mathematics,6,3,C007
SUB0047,Deep Learning,7,2,C004
SUB0048,Software Engineering,7,4,C007
SUB0049,Programming in Java,4,3,C007
SUB0050,Programming in C,4,2,C001
SUB0051,Programming in Python,4,5,C001
SUB0052,Compiler Design,3,2,C005
SUB0053,Software Engineering,1,3,C004
SUB0054,Programming in Python,1,5,C009
SUB0055,Software Engineering,7,4,C004
SUB0056,Microprocessors,5,3,C009
SUB0057,Algorithms,3,3,C001
SUB0058,Data Mining,2,2,C002
SUB0059,Digital Logic,5,2,C009
SUB0060,Programming in C,8,2,C009
SUB0061,Big Data,4,2,C002
SUB0062,Deep Learning,6,3,C005
SUB0063,Computer Graphics,2,2,C007
SUB0064,Database Management System,2,3,C007
SUB0065,Data Structures,4,5,C002
SUB0066,Programming in C,7,4,C009
SUB0067,Software Engineering,5,3,C005
SUB0068,Algorithms,6,4,C007
SUB0069,Computer Networks,7,2,C005
SUB0070,Computer Graphics,4,5,C010
SUB0071,Data Analytics,1,5,C001
SUB0072,Operating Systems,2,5,C008
SUB0073,Software Engineering,4,3,C004
SUB0074,Computer Networks,2,5,C002
SUB0075,Software Engineering,7,3,C008
SUB0076,Deep Learning,5,5,C009
SUB0077,Discrete Mathematics,1,3,C010
SUB0078,Engineering Mathematics,8,5,C001
SUB0079,Database Management System,5,3,C005
SUB0080,Cyber Security,6,4,C003
SUB0081,Database Management System,3,3,C002
SUB0082,Cyber Security,4,5,C006
SUB0083,Programming in C,4,5,C009
SUB0084,Big Data,5,3,C006
SUB0085,Data Mining,4,4,C007
SUB0086,Machine Learning,6,4,C005
SUB0087,Engineering Mathematics,8,2,C009
SUB0088,Compiler Design,6,2,C007
SUB0089,Object Oriented Programming,2,3,C007
SUB0090,Digital Logic,8,3,C001
SUB0091,Discrete Mathematics,2,3,C002
SUB0092,Discrete Mathematics,3,5,C007
SUB0093,Data Structures,4,2,C010
SUB0094,Operating Systems,3,2,C006
SUB0095,Machine Learning,8,2,C008
SUB0096,Statistics,4,3,C009
SUB0097,Cyber Security,4,5,C009
SUB0098,Software Engineering,4,5,C002
SUB0099,Software Engineering,7,2,C010
SUB0100,Object Oriented Programming,1,3,C006
SUB0101,Computer Networks,6,3,C008
SUB0102,Computer Graphics,2,3,C002
SUB0103,Programming in C,1,5,C007
SUB0104,Data Analytics,4,4,C004
SUB0105,Software Engineering,8,3,C001
SUB0106,Data Structures,8,5,C007
SUB0107,Programming in C,2,2,C004
SUB0108,Programming in Python,2,3,C003
SUB0109,Machine Learning,5,3,C006
SUB0110,Engineering Mathematics,2,3,C002
SUB0111,Statistics,8,3,C006
SUB0112,Programming in C,3,4,C009
SUB0113,Deep Learning,3,5,C001
SUB0114,Compiler Design,5,4,C002
SUB0115,Digital Logic,7,3,C005
SUB0116,Cloud Computing,2,5,C002
SUB0117,Programming in Python,7,5,C002
SUB0118,Database Management System,6,5,C003
SUB0119,Compiler Design,5,5,C010
SUB0120,Deep Learning,7,2,C001
SUB0121,Data Structures,5,4,C005
SUB0122,Statistics,5,3,C001
SUB0123,Discrete Mathematics,4,3,C008
SUB0124,Data Structures,7,2,C004
SUB0125,Software Engineering,7,3,C001
SUB0126,Algorithms,2,3,C001
SUB0127,Operating Systems,8,3,C002
SUB0128,Statistics,3,5,C008
SUB0129,Digital Logic,8,4,C005
SUB0130,Software Engineering,5,4,C005
SUB0131,Computer Networks,2,5,C005
SUB0132,Digital Logic,3,4,C005
SUB0133,Data Analytics,1,4,C010
SUB0134,Statistics,3,4,C001
SUB0135,Data Analytics,6,4,C003
SUB0136,Programming in Java,7,4,C008
SUB0137,Discrete Mathematics,2,3,C006
SUB0138,Computer Graphics,6,2,C004
SUB0139,Cloud Computing,2,3,C008
SUB0140,Big Data,4,2,C001
SUB0141,Operating Systems,3,4,C002
SUB0142,Programming in C,7,3,C009
SUB0143,Digital Logic,7,5,C005
SUB0144,Cyber Security,3,3,C004
SUB0145,Machine Learning,4,2,C002
SUB0146,Engineering Mathematics,8,5,C001
SUB0147,Artificial Intelligence,1,4,C009
SUB0148,Software Engineering,8,4,C005
SUB0149,Cloud Computing,1,5,C007
SUB0150,Software Engineering,6,3,C006
SUB0151,Discrete Mathematics,4,5,C009
SUB0152,Microprocessors,4,3,C008
SUB0153,Machine Learning,1,3,C008
SUB0154,Operating Systems,3,3,C006
SUB0155,Engineering Mathematics,2,2,C004
SUB0156,Statistics,1,2,C001
SUB0157,Database Management System,1,3,C005
SUB0158,Discrete Mathematics,1,2,C010
SUB0159,Computer Graphics,6,3,C006
SUB0160,Computer Graphics,4,2,C004
SUB0161,Big Data,7,3,C008
SUB0162,Object Oriented Programming,2,2,C004
SUB0163,Programming in C,6,2,C009
SUB0164,Data Structures,1,2,C006
SUB0165,Software Engineering,4,2,C008
SUB0166,Computer Graphics,1,4,C003
SUB0167,Big Data,3,3,C010
SUB0168,Compiler Design,2,3,C004
SUB0169,Deep Learning,8,3,C001
SUB0170,Artificial Intelligence,3,4,C005
SUB0171,Computer Graphics,2,2,C001
SUB0172,Programming in Java,5,4,C006
SUB0173,Cyber Security,8,5,C007
SUB0174,Software Engineering,8,2,C003
SUB0175,Programming in Java,1,5,C003
SUB0176,Programming in Java,3,4,C006
SUB0177,Data Mining,3,3,C006
SUB0178,Compiler Design,7,3,C004
SUB0179,Computer Graphics,7,5,C010
SUB0180,Computer Networks,3,5,C010
SUB0181,Database Management System,7,4,C009
SUB0182,Object Oriented Programming,8,3,C008
SUB0183,Computer Graphics,2,3,C001
SUB0184,Artificial Intelligence,6,4,C002
SUB0185,Compiler Design,5,4,C010
SUB0186,Artificial Intelligence,2,5,C005
SUB0187,Data Mining,5,2,C008
SUB0188,Data Analytics,5,5,C006
SUB0189,Programming in Java,7,5,C001
SUB0190,Statistics,8,2,C007
SUB0191,Microprocessors,8,5,C008
SUB0192,Software Engineering,8,5,C010
SUB0193,Artificial Intelligence,8,3,C005
SUB0194,Deep Learning,7,5,C005
SUB0195,Statistics,6,4,C006
SUB0196,Discrete Mathematics,3,5,C006
SUB0197,Programming in C,5,2,C008
SUB0198,Programming in Java,6,4,C004
SUB0199,Programming in Java,5,3,C009
SUB0200,Cyber Security,2,3,C006
SUB0201,Algorithms,6,4,C008
SUB0202,Statistics,4,2,C005
SUB0203,Statistics,7,3,C007
SUB0204,Cloud Computing,8,2,C002
SUB0205,Software Engineering,1,4,C005
SUB0206,Computer Networks,8,5,C010
SUB0207,Object Oriented Programming,5,2,C004
SUB0208,Digital Logic,1,2,C007
SUB0209,Data Mining,7,2,C007
SUB0210,Machine Learning,5,2,C009
SUB0211,Engineering Mathematics,4,2,C007
SUB0212,Machine Learning,1,5,C009
SUB0213,Artificial Intelligence,1,5,C003
SUB0214,Programming in Python,7,2,C006
SUB0215,Data Structures,4,2,C004
SUB0216,Object Oriented Programming,6,2,C004
SUB0217,Programming in Java,7,2,C003
SUB0218,Software Engineering,2,5,C002
SUB0219,Data Structures,7,3,C001
SUB0220,Algorithms,2,5,C007
SUB0221,Algorithms,6,2,C008
SUB0222,Digital Logic,6,2,C007
SUB0223,Compiler Design,4,5,C008
SUB0224,Data Structures,8,4,C002
SUB0225,Microprocessors,7,5,C008
SUB0226,Programming in C,1,5,C003
SUB0227,Digital Logic,8,4,C005
SUB0228,Microprocessors,5,4,C010
SUB0229,Digital Logic,3,2,C003
SUB0230,Big Data,3,2,C006
SUB0231,Data Structures,3,2,C001
SUB0232,Algorithms,6,5,C008
SUB0233,Algorithms,4,5,C005
SUB0234,Database Management System,2,4,C006
SUB0235,Artificial Intelligence,4,3,C010
SUB0236,Object Oriented Programming,6,2,C003
SUB0237,Artificial Intelligence,6,2,C001
SUB0238,Compiler Design,2,4,C008
SUB0239,Computer Graphics,3,2,C007
SUB0240,Discrete Mathematics,1,4,C001
SUB0241,Artificial Intelligence,8,2,C007
SUB0242,Operating Systems,2,4,C002
SUB0243,Machine Learning,6,3,C007
SUB0244,Programming in Python,7,5,C010
SUB0245,Data Analytics,4,5,C008
SUB0246,Programming in Java,5,5,C007
SUB0247,Algorithms,2,3,C009
SUB0248,Data Analytics,8,3,C004
SUB0249,Software Engineering,3,4,C008
SUB0250,Data Mining,2,4,C007
SUB0251,Computer Graphics,6,5,C001
SUB0252,Statistics,7,2,C010
SUB0253,Big Data,5,5,C009
SUB0254,Machine Learning,5,5,C006
