timetable_id,day,time_slot,subject_id,faculty_id,room
TT0001,Tuesday,10:00-11:00,SUB0719,F0782,A149
TT0002,Friday,12:15-01:15,SUB0243,F0736,B214
TT0003,Wednesday,10:00-11:00,SUB0308,F0836,A136
TT0004,Wednesday,12:15-01:15,SUB0630,F0146,B226
TT0005,Tuesday,10:00-11:00,SUB0209,F0048,B203
TT0006,Tuesday,11:15-12:15,SUB0896,F0199,B225
TT0007,Tuesday,11:15-12:15,SUB0517,F0174,B216
TT0008,Tuesday,10:00-11:00,SUB0927,F0202,B239
TT0009,Friday,10:00-11:00,SUB0464,F0448,A136
TT0010,Tuesday,10:00-11:00,SUB0306,F0140,A140
TT0011,Friday,11:15-12:15,SUB0975,F0575,A148
TT0012,Tuesday,10:00-11:00,SUB0992,F0953,A123
TT0013,Monday,12:15-01:15,SUB0060,F0923,B222
TT0014,Friday,03:00-04:00,SUB0659,F0801,A115
TT0015,Monday,11:15-12:15,SUB0663,F0973,B243
TT0016,Thursday,09:00-10:00,SUB0922,F0391,A113
TT0017,Thursday,09:00-10:00,SUB0647,F0267,B244
TT0018,Tuesday,12:15-01:15,SUB0528,F0220,A104
TT0019,Tuesday,10:00-11:00,SUB0652,F0452,B202
TT0020,Tuesday,02:00-03:00,SUB0762,F0071,B202
TT0021,Thursday,12:15-01:15,SUB0067,F0397,A117
TT0022,Tuesday,11:15-12:15,SUB0679,F0433,A109
TT0023,Tuesday,02:00-03:00,SUB0761,F0724,A111
TT0024,Wednesday,09:00-10:00,SUB0811,F0725,A148
TT0025,Wednesday,11:15-12:15,SUB0935,F0474,A139
TT0026,Wednesday,02:00-03:00,SUB0196,F0219,B244
TT0027,Wednesday,09:00-10:00,SUB0015,F0928,B220
TT0028,Tuesday,09:00-10:00,SUB0749,F0156,B214
TT0029,Wednesday,10:00-11:00,SUB0635,F0648,A130
TT0030,Friday,03:00-04:00,SUB0752,F0242,A134
TT0031,Wednesday,10:00-11:00,SUB0149,F0689,A150
TT0032,Tuesday,03:00-04:00,SUB0325,F0043,A115
TT0033,Monday,11:15-12:15,SUB0461,F0830,B220
TT0034,Friday,10:00-11:00,SUB0142,F0425,A136
TT0035,Friday,03:00-04:00,SUB0034,F0527,B209
TT0036,Friday,02:00-03:00,SUB0095,F0304,B219
TT0037,Thursday,10:00-11:00,SUB0953,F0892,A108
TT0038,Wednesday,11:15-12:15,SUB0522,F0057,A102
TT0039,Tuesday,11:15-12:15,SUB0693,F0479,A135
TT0040,Tuesday,09:00-10:00,SUB0514,F0754,A126
TT0041,Friday,11:15-12:15,SUB0891,F0336,A101
TT0042,Wednesday,10:00-11:00,SUB0368,F0500,A113
TT0043,Tuesday,11:15-12:15,SUB0980,F0454,A131
TT0044,Friday,09:00-10:00,SUB0954,F0073,B212
TT0045,Thursday,10:00-11:00,SUB0979,F0728,A132
TT0046,Tuesday,03:00-04:00,SUB0731,F0260,A129
TT0047,Monday,10:00-11:00,SUB0253,F0004,B227
TT0048,Monday,02:00-03:00,SUB0181,F0513,A145
TT0049,Tuesday,12:15-01:15,SUB0744,F0645,A141
TT0050,Friday,11:15-12:15,SUB0225,F0667,B224
TT0051,Thursday,10:00-11:00,SUB0890,F0614,A143
TT0052,Monday,02:00-03:00,SUB0186,F0472,B204
TT0053,Thursday,10:00-11:00,SUB0035,F0332,A124
TT0054,Thursday,12:15-01:15,SUB0947,F0048,A114
TT0055,Tuesday,11:15-12:15,SUB0346,F0656,B217
TT0056,Wednesday,02:00-03:00,SUB0663,F0370,A130
TT0057,Tuesday,02:00-03:00,SUB0422,F0122,A125
TT0058,Wednesday,12:15-01:15,SUB0227,F0470,A121
TT0059,Friday,10:00-11:00,SUB0388,F0407,A118
TT0060,Friday,09:00-10:00,SUB0028,F0904,B211
TT0061,Friday,03:00-04:00,SUB0697,F0230,A124
TT0062,Friday,02:00-03:00,SUB0027,F0144,B233
TT0063,Friday,09:00-10:00,SUB0402,F0960,A143
TT0064,Friday,02:00-03:00,SUB0057,F0757,A109
TT0065,Tuesday,11:15-12:15,SUB0032,F0676,B243
TT0066,Friday,12:15-01:15,SUB0745,F0636,A109
TT0067,Wednesday,03:00-04:00,SUB0242,F0941,B243
TT0068,Wednesday,03:00-04:00,SUB0862,F0693,B205
TT0069,Tuesday,03:00-04:00,SUB0886,F0864,A147
TT0070,Thursday,12:15-01:15,SUB0457,F0152,A149
TT0071,Thursday,09:00-10:00,SUB0394,F0696,A121
TT0072,Tuesday,11:15-12:15,SUB0537,F0582,B238
TT0073,Thursday,09:00-10:00,SUB0464,F0398,A134
TT0074,Tuesday,09:00-10:00,SUB0744,F0167,B246
TT0075,Thursday,03:00-04:00,SUB0259,F0768,B230
TT0076,Thursday,02:00-03:00,SUB0275,F0428,A143
TT0077,Monday,03:00-04:00,SUB0342,F0802,B203
TT0078,Wednesday,10:00-11:00,SUB0862,F0229,B211
TT0079,Wednesday,11:15-12:15,SUB0427,F0376,A139
TT0080,Friday,02:00-03:00,SUB0563,F0931,B221
TT0081,Friday,03:00-04:00,SUB0128,F0106,B243
TT0082,Tuesday,03:00-04:00,SUB0769,F0948,A142
TT0083,Tuesday,11:15-12:15,SUB0694,F0216,A124
TT0084,Monday,12:15-01:15,SUB0253,F0444,A108
TT0085,Thursday,11:15-12:15,SUB0296,F1000,B203
TT0086,Thursday,09:00-10:00,SUB0768,F0714,B218
TT0087,Friday,12:15-01:15,SUB0513,F0074,A110
TT0088,Tuesday,10:00-11:00,SUB0501,F0135,B232
TT0089,Monday,10:00-11:00,SUB0352,F0673,A134
TT0090,Friday,03:00-04:00,SUB0202,F0598,B228
TT0091,Friday,12:15-01:15,SUB0028,F0897,A104
TT0092,Friday,12:15-01:15,SUB0743,F0268,B212
TT0093,Wednesday,11:15-12:15,SUB0594,F0315,B231
TT0094,Monday,02:00-03:00,SUB0866,F0378,B248
TT0095,Wednesday,03:00-04:00,SUB0496,F0435,B202
TT0096,Wednesday,11:15-12:15,SUB0289,F0658,B212
TT0097,Thursday,03:00-04:00,SUB0161,F0101,A116
TT0098,Tuesday,11:15-12:15,SUB0772,F0715,B228
TT0099,Tuesday,11:15-12:15,SUB0400,F0508,B232
TT0100,Thursday,10:00-11:00,SUB0500,F0930,B236
TT0101,Friday,02:00-03:00,SUB0669,F0104,A134
TT0102,Thursday,10:00-11:00,SUB0537,F0512,B204
TT0103,Friday,10:00-11:00,SUB0283,F0076,A107
TT0104,Friday,12:15-01:15,SUB0102,F0740,B240
TT0105,Wednesday,02:00-03:00,SUB0817,F0825,B215
TT0106,Wednesday,09:00-10:00,SUB0385,F0422,B221
TT0107,Tuesday,12:15-01:15,SUB0116,F0738,A143
TT0108,Wednesday,10:00-11:00,SUB0327,F0153,B212
TT0109,Friday,03:00-04:00,SUB0288,F0418,B205
TT0110,Thursday,03:00-04:00,SUB0201,F0364,A137
TT0111,Wednesday,10:00-11:00,SUB0463,F0794,A116
TT0112,Wednesday,10:00-11:00,SUB0067,F0379,A145
TT0113,Tuesday,02:00-03:00,SUB0658,F0956,A108
TT0114,Thursday,12:15-01:15,SUB0968,F0458,A117
TT0115,Wednesday,11:15-12:15,SUB0650,F0532,B219
TT0116,Tuesday,03:00-04:00,SUB0347,F0019,A113
TT0117,Monday,09:00-10:00,SUB0782,F0747,A109
TT0118,Tuesday,09:00-10:00,SUB0267,F0642,B206
TT0119,Thursday,09:00-10:00,SUB0243,F0827,B201
TT0120,Friday,03:00-04:00,SUB0018,F0879,B207
TT0121,Friday,10:00-11:00,SUB0786,F0234,A147
TT0122,Friday,03:00-04:00,SUB0198,F0371,A148
TT0123,Tuesday,02:00-03:00,SUB0931,F0416,A112
TT0124,Tuesday,12:15-01:15,SUB0159,F0882,A122
TT0125,Friday,02:00-03:00,SUB0951,F0019,B236
TT0126,Thursday,02:00-03:00,SUB0956,F0142,B240
TT0127,Monday,09:00-10:00,SUB0742,F0454,A105
TT0128,Tuesday,03:00-04:00,SUB0004,F0057,A104
TT0129,Thursday,12:15-01:15,SUB0140,F0282,A120
TT0130,Monday,02:00-03:00,SUB0914,F0668,B240
TT0131,Monday,12:15-01:15,SUB0481,F0698,A131
TT0132,Tuesday,02:00-03:00,SUB0991,F0775,B214
TT0133,Tuesday,03:00-04:00,SUB0107,F0312,A128
TT0134,Tuesday,11:15-12:15,SUB0045,F0488,A129
TT0135,Wednesday,12:15-01:15,SUB0997,F0436,B241
TT0136,Tuesday,12:15-01:15,SUB0694,F0485,A114
TT0137,Tuesday,10:00-11:00,SUB0024,F0386,A119
TT0138,Friday,12:15-01:15,SUB0012,F0764,A112
TT0139,Wednesday,12:15-01:15,SUB0196,F0338,A139
TT0140,Friday,09:00-10:00,SUB0481,F0770,B224
TT0141,Tuesday,02:00-03:00,SUB0240,F0806,A128
TT0142,Friday,10:00-11:00,SUB0212,F0092,B246
TT0143,Thursday,10:00-11:00,SUB0756,F0371,B201
TT0144,Wednesday,03:00-04:00,SUB0730,F0283,A110
TT0145,Thursday,10:00-11:00,SUB0611,F0244,A117
TT0146,Tuesday,02:00-03:00,SUB0693,F0103,B213
TT0147,Thursday,10:00-11:00,SUB0587,F0709,B213
TT0148,Monday,02:00-03:00,SUB0386,F0110,B218
TT0149,Thursday,02:00-03:00,SUB0421,F0104,B229
TT0150,Wednesday,03:00-04:00,SUB0064,F0302,A103
TT0151,Thursday,10:00-11:00,SUB0605,F0736,A103
TT0152,Monday,10:00-11:00,SUB0549,F0731,A104
TT0153,Thursday,03:00-04:00,SUB0921,F0394,A130
TT0154,Thursday,02:00-03:00,SUB0473,F0484,B238
TT0155,Tuesday,09:00-10:00,SUB0057,F0397,A128
TT0156,Thursday,03:00-04:00,SUB0095,F0990,A144
